class,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle
Bow Pose,187.97713757997715,182.57450480736745,323.9670806608602,34.85312461761873,304.06992582700155,311.79324359735955,210.65759680591992,206.96852399908028
Bow Pose,188.8512433450347,188.851705079602,293.8618313155607,65.14541552052458,267.6342422887534,275.286590762221,241.37097434330116,238.5127690612279
Bow Pose,185.90761754275238,188.40040742634014,292.400633518779,61.11217597993925,266.3835646359111,262.8749836510982,250.75409817906305,244.90451559876897
Bow Pose,170.63920049091965,168.6543246862539,245.93839265219052,110.51832879741985,234.70285723285235,229.22780676587072,273.421400550693,274.59467014977463
Bow Pose,174.1420408487169,162.59778544226043,271.1213203386901,102.56561088909126,221.77854287810362,245.96928720612385,288.4015314741132,272.1041884069772
Bow Pose,99.81057450731255,101.20504765614012,251.09909639880212,106.56156561545657,253.67195952628526,250.58846604704985,293.3240097504225,277.9389875614054
Bow Pose,156.59063445260176,156.0548413294072,233.51349286018853,127.54570118725155,233.17424127543904,233.00524923956596,290.5685668518553,285.09157267859484
Bow Pose,165.25236564404065,155.22748761765337,270.6239454206803,96.11936514731252,262.40828182564263,268.2488273850448,256.670358974499,251.11203531117235
Bow Pose,189.5645883518547,193.40821539836264,288.6351662240733,75.98807562208725,269.8049180861201,267.36017608172347,253.56490850594793,257.66588374462884
Bow Pose,183.5443063736475,185.9517746323053,289.45347426114523,77.7888456690622,265.282667274347,263.73366010323343,256.4273306704438,258.0640729923887
Bow Pose,189.61425806627736,185.64824737373527,292.3097372023911,74.50339388147523,271.15047436584376,264.13785218174985,251.70794520347982,259.8516660929066
Bow Pose,191.53934068936522,210.08738182390294,291.6321756371365,59.90990080453105,262.7901699815548,267.41322994748975,257.44047893034184,255.91322012744664
Bow Pose,184.09204924224343,207.01211098084394,284.6304771696434,67.15544687233506,197.27054154678288,240.29667753003918,304.3827918322066,272.6897470042859
Bow Pose,201.270435463425,212.26919293477343,302.41494330956493,58.113867696428244,256.18612390253855,266.61731053668893,265.98483205991585,257.46092423011373
Bow Pose,196.47042843960858,181.6523046776513,295.3768112976761,99.31182079844365,250.0717559290428,258.6173571849192,281.6392487339474,278.16565590437295
Bow Pose,180.58463052070516,184.31546342956995,285.68486364800964,82.43667030737873,267.6191846507502,272.5535510063073,258.58791711959964,258.6360561327198
Bow Pose,119.84887736592353,117.19363302822296,214.4468511167226,143.65804671893935,264.50851849278257,265.4971281909529,281.8293885111759,280.01930469694423
Bow Pose,156.44773632710533,175.97173633351485,181.01490764770665,103.86968643850503,236.8691459273419,262.88097505330506,270.9927938512225,275.0433154842771
Bow Pose,284.74356283647074,180.10783383663107,266.59798417698937,92.60513290330181,227.79778673694076,278.93106025049667,324.3387859650461,281.7188983963289
Bow Pose,189.45533619580476,190.64262411818513,283.08206570220034,72.54716834030216,269.15987259706014,268.5270045583713,254.33615948751122,253.2120798383367
Bow Pose,189.74859424168537,182.19927122849236,281.8511663003201,76.17438535540555,265.87948163878116,272.6623234926917,264.4160438716328,257.36827909793726
Bow Pose,205.23283132320836,208.3815037502641,265.08572020109983,73.77801886483064,206.73582795752384,248.23972171944195,297.7523731012772,271.0630243541989
Bow Pose,183.065032621029,186.8633165090247,294.4895868250187,65.13600708558505,270.46258563106676,278.25696918552006,247.17567282501375,245.77864202895847
Bow Pose,180.55921345332166,195.07787014393645,286.84465944685115,73.11428197139622,261.7980234044152,268.7212207531833,254.69580869709853,253.47921830712693
Bow Pose,172.75216330436072,182.1793374535954,284.81797729072053,72.66242944876262,261.56774197460993,258.0998741168622,258.1557537917596,263.55764918701504
Bow Pose,190.31228474202362,189.23614016858463,300.5516040626356,48.251945600363854,244.547320825372,273.2900954275004,254.6321524898583,232.16981366542876
Bow Pose,172.0148635891814,171.79278358808185,272.05552560872434,87.44439248481547,238.91432594719458,245.75850974299965,273.2666795834126,273.8721315406503
Bow Pose,196.20089378156402,180.56785819836327,329.1139760469316,72.89383870725237,265.49966787799815,263.9434048098352,234.39161158602252,256.91619308785704
Bow Pose,166.06929293788528,156.95813610937734,252.17351752117025,117.55182720110346,250.63387640771558,257.69149440947274,260.2595143586516,264.6070694395003
Bow Pose,123.74380959441469,185.985948831202,293.53301752665413,62.14873119081193,228.0904779996818,263.6722295260498,251.02012716926222,235.53092785267484
Bow Pose,184.8767281807375,199.9689791827814,319.33143049802993,43.45779387257153,173.7499095933471,316.21318943783797,269.16900290528713,188.77922508837827
Bow Pose,172.1961554684269,209.10037518800976,307.23788581757617,33.424906742620934,279.49422199682107,294.63224764218114,235.85239274633784,235.99669962444645
Bow Pose,177.18444331578877,234.6047801407189,279.8513273428081,50.584882635544886,238.10080736547184,247.06565190098874,267.7433160257834,268.94289868716635
